Dosya Adı,Karar Künyesi (Esas/Karar),Durum,Tespit Edilen Hata
Ceza Genel Kurulu_2003_3003.E._2004_3.K.(16139000).txt,2003/3003 E. - 2004/3 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2003_301.E._2004_16.K.(16140000).txt,2003/301 E. - 2004/16 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2003_302.E._2004_24.K.(16140900).txt,2003/302 E. - 2004/24 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2003_303.E._2004_3.K.(16176800).txt,2003/303 E. - 2004/3 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2003_304.E._2004_22.K.(16140600).txt,2003/304 E. - 2004/22 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2003_307.E._2004_4.K.(16139100).txt,2003/307 E. - 2004/4 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2003_308.E._2004_8.K.(16139300).txt,2003/308 E. - 2004/8 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2003_311.E._2004_30.K.(16141300).txt,2003/311 E. - 2004/30 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2003_313.E._2004_6.K.(16177200).txt,2003/313 E. - 2004/6 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2003_314.E._2004_13.K.(16139800).txt,2003/314 E. - 2004/13 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2003_315.E._2004_9.K.(16139400).txt,2003/315 E. - 2004/9 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2003_316.E._2004_12.K.(16139700).txt,2003/316 E. - 2004/12 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2003_317.E._2004_31.K.(16141400).txt,2003/317 E. - 2004/31 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2004_102.E._2004_127.K.(16054900).txt,2004/102 E. - 2004/127 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2004_107.E._2004_136.K.(16055600).txt,2004/107 E. - 2004/136 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2004_109.E._2004_131.K.(16054600).txt,2004/109 E. - 2004/131 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2004_117.E._2004_148.K.(16056300).txt,2004/117 E. - 2004/148 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2004_122.E._2004_143.K.(16056000).txt,2004/122 E. - 2004/143 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2004_123.E._2004_147.K.(16056200).txt,2004/123 E. - 2004/147 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2004_143.E._2004_175.K.(16058500).txt,2004/143 E. - 2004/175 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2004_145.E._2004_196.K.(16059200).txt,2004/145 E. - 2004/196 K.,❌ EKSİK / FAZLA,Orijinal sitedeki metin ile dosya uzunluğu ciddi oranda uyuşmuyor. Fark: 510 karakter.
Ceza Genel Kurulu_2004_146.E._2005_7.K.(16389600).txt,2004/146 E. - 2005/7 K.,❌ EKSİK / FAZLA,Orijinal sitedeki metin ile dosya uzunluğu ciddi oranda uyuşmuyor. Fark: 878 karakter.
Ceza Genel Kurulu_2004_150.E._2004_192.K.(16058800).txt,2004/150 E. - 2004/192 K.,❌ EKSİK / FAZLA,Orijinal sitedeki metin ile dosya uzunluğu ciddi oranda uyuşmuyor. Fark: 517 karakter.
Ceza Genel Kurulu_2004_158.E._2005_58.K.(16449000).txt,2004/158 E. - 2005/58 K.,❌ EKSİK / FAZLA,Orijinal sitedeki metin ile dosya uzunluğu ciddi oranda uyuşmuyor. Fark: 5791 karakter.
Ceza Genel Kurulu_2004_16.E._2004_33.K.(16141600).txt,2004/16 E. - 2004/33 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2004_163.E._2004_194.K.(16059000).txt,2004/163 E. - 2004/194 K.,❌ EKSİK / FAZLA,Orijinal sitedeki metin ile dosya uzunluğu ciddi oranda uyuşmuyor. Fark: 624 karakter.
Ceza Genel Kurulu_2004_164.E._2004_200.K.(16059600).txt,2004/164 E. - 2004/200 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2004_169.E._2004_197.K.(16059300).txt,2004/169 E. - 2004/197 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2004_173.E._2004_228.K.(16084000).txt,2004/173 E. - 2004/228 K.,❌ EKSİK / FAZLA,Orijinal sitedeki metin ile dosya uzunluğu ciddi oranda uyuşmuyor. Fark: 1416 karakter.
