Dosya Adı,Karar Künyesi (Esas/Karar),Durum,Tespit Edilen Hata
Ceza Genel Kurulu_1997_186.E._1997_174.K.(16345300).txt,1997/186 E. - 1997/174 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_1999_188.E._1999_251.K.(16280400).txt,1999/188 E. - 1999/251 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_1999_227.E._1999_226.K.(16280500).txt,1999/227 E. - 1999/226 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2000_126.E._2000_131.K.(16284500).txt,2000/126 E. - 2000/131 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2000_304.E._2004_22.K.(16140700).txt,2000/304 E. - 2004/22 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2000_312.E._2004_11.K.(16139600).txt,2000/312 E. - 2004/11 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2001_128.E._2001_130.K.(16287700).txt,2001/128 E. - 2001/130 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2003_126.E._2003_122.K.(16303200).txt,2003/126 E. - 2003/122 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2003_129.E._2003_154.K.(16307500).txt,2003/129 E. - 2003/154 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2003_143.E._2003_183.K.(16302600).txt,2003/143 E. - 2003/183 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2003_149.E._2003_196.K.(16318800).txt,2003/149 E. - 2003/196 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2003_166.E._2003_190.K.(16302700).txt,2003/166 E. - 2003/190 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2003_184.E._2003_186.K.(16313600).txt,2003/184 E. - 2003/186 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2003_185.E._2003_192.K.(16302800).txt,2003/185 E. - 2003/192 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2003_256.E._2004_15.K.(16139900).txt,2003/256 E. - 2004/15 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2003_257.E._2004_10.K.(16139500).txt,2003/257 E. - 2004/10 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2003_277.E._2004_32.K.(16141500).txt,2003/277 E. - 2004/32 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2003_278.E._2004_1.K.(16138800).txt,2003/278 E. - 2004/1 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2003_280.E._2004_20.K.(16140400).txt,2003/280 E. - 2004/20 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2003_283.E._2004_2.K.(16138900).txt,2003/283 E. - 2004/2 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2003_285.E._2004_7.K.(16177300).txt,2003/285 E. - 2004/7 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2003_292.E._2004_5.K.(16139200).txt,2003/292 E. - 2004/5 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2003_293.E._2004_26.K.(16141000).txt,2003/293 E. - 2004/26 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2003_296.E._2004_27.K.(16141100).txt,2003/296 E. - 2004/27 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2003_300.E._2004_21.K.(16140500).txt,2003/300 E. - 2004/21 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2003_3003.E._2004_3.K.(16139000).txt,2003/3003 E. - 2004/3 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2003_301.E._2004_16.K.(16140000).txt,2003/301 E. - 2004/16 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2003_302.E._2004_24.K.(16140900).txt,2003/302 E. - 2004/24 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2003_303.E._2004_3.K.(16176800).txt,2003/303 E. - 2004/3 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2003_304.E._2004_22.K.(16140600).txt,2003/304 E. - 2004/22 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2003_307.E._2004_4.K.(16139100).txt,2003/307 E. - 2004/4 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2003_308.E._2004_8.K.(16139300).txt,2003/308 E. - 2004/8 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2003_311.E._2004_30.K.(16141300).txt,2003/311 E. - 2004/30 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2003_313.E._2004_6.K.(16177200).txt,2003/313 E. - 2004/6 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2003_314.E._2004_13.K.(16139800).txt,2003/314 E. - 2004/13 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2003_315.E._2004_9.K.(16139400).txt,2003/315 E. - 2004/9 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2003_316.E._2004_12.K.(16139700).txt,2003/316 E. - 2004/12 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2003_317.E._2004_31.K.(16141400).txt,2003/317 E. - 2004/31 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2003_317.E._2004_31.K.(16141400).txt,2003/317 E. - 2004/31 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2003_318.E._2004_19.K.(16140300).txt,2003/318 E. - 2004/19 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_1.E._2004_17.K.(16140100).txt,2004/1 E. - 2004/17 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_100.E._2004_128.K.(16055000).txt,2004/100 E. - 2004/128 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_101.E._2004_123.K.(16054500).txt,2004/101 E. - 2004/123 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_102.E._2004_127.K.(16054900).txt,2004/102 E. - 2004/127 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2004_103.E._2004_130.K.(16055200).txt,2004/103 E. - 2004/130 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_105.E._2004_129.K.(16055100).txt,2004/105 E. - 2004/129 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_106.E._2004_133.K.(16055300).txt,2004/106 E. - 2004/133 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_107.E._2004_136.K.(16055600).txt,2004/107 E. - 2004/136 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2004_109.E._2004_131.K.(16054600).txt,2004/109 E. - 2004/131 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2004_110.E._2004_151.K.(16056600).txt,2004/110 E. - 2004/151 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_111.E._2004_134.K.(16055400).txt,2004/111 E. - 2004/134 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_112.E._2004_137.K.(16055700).txt,2004/112 E. - 2004/137 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_114.E._2004_139.K.(16373000).txt,2004/114 E. - 2004/139 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_116.E._2004_116.K.(16055800).txt,2004/116 E. - 2004/116 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_117.E._2004_148.K.(16056300).txt,2004/117 E. - 2004/148 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2004_118.E._2004_168.K.(16057900).txt,2004/118 E. - 2004/168 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_119.E._2004_142.K.(16055900).txt,2004/119 E. - 2004/142 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_120.E._2004_154.K.(16376900).txt,2004/120 E. - 2004/154 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_121.E._2004_157.K.(16057100).txt,2004/121 E. - 2004/157 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_122.E._2004_143.K.(16056000).txt,2004/122 E. - 2004/143 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2004_123.E._2004_147.K.(16056200).txt,2004/123 E. - 2004/147 K.,⚠️ UYARI,"Siteden yanıt alınamadı, zaman aşımı."
Ceza Genel Kurulu_2004_124.E._2004_155.K.(16056900).txt,2004/124 E. - 2004/155 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
Ceza Genel Kurulu_2004_126.E._2004_146.K.(16056100).txt,2004/126 E. - 2004/146 K.,TEMİZ,Resmi siteyle birebir uyuşmaktadır. Sorun yok.
